Light Intensity, Ch A vs Actual Angular Position, Run #38
Actual Angular Position	Light Intensity Ch A (%max)
0.415	0.195
0.415	0.000
0.415	0.195
0.415	0.000
0.414	0.195
0.414	0.000
0.414	0.195
0.414	0.000
0.413	0.195
0.413	0.098
0.412	0.293
0.412	0.586
0.411	1.367
0.411	1.758
0.411	2.149
0.411	2.637
0.410	3.223
0.410	3.906
0.410	4.395
0.410	4.981
0.410	5.469
0.409	5.860
0.409	6.250
0.409	6.738
0.409	7.227
0.408	7.617
0.408	7.813
0.408	8.106
0.407	7.520
0.406	6.836
0.405	5.664
0.405	4.688
0.405	4.297
0.404	3.906
0.404	3.613
0.404	3.223
0.403	2.734
0.403	2.246
0.402	1.953
0.402	1.660
0.401	1.563
0.401	1.563
0.401	1.367
0.401	1.270
0.400	1.172
0.400	0.977
0.400	0.879
0.399	0.879
0.399	0.781
0.399	0.586
0.398	0.488
0.397	0.391
0.397	0.293
0.396	0.195
0.396	0.098
0.395	0.098
0.395	0.000
0.394	0.000
0.394	0.000
0.393	0.000
0.393	0.000
0.392	0.000
0.392	0.000
0.392	0.000
0.391	0.000
0.391	0.000
0.390	0.000
0.390	0.000
0.390	0.000
0.389	0.000
0.389	0.000
0.389	0.000
0.389	0.000
0.389	0.000
0.389	0.000
0.388	0.000
0.388	0.000
0.388	0.000
0.388	0.000
0.388	0.000
0.387	0.000
0.387	0.000
0.387	0.000
0.387	0.000
0.387	0.000
0.385	0.000
0.385	0.000
0.384	0.000
0.384	0.000
0.384	0.000
0.383	0.000
0.383	0.000
0.383	-0.098
0.382	0.000
0.382	0.000
0.381	0.000
0.381	-0.195
0.381	0.000
0.381	-0.195
0.380	0.000
0.380	-0.195
0.380	0.000
0.380	-0.098
0.380	0.000
0.380	-0.195
0.379	0.000
0.379	-0.098
0.379	0.000
0.379	-0.195
0.378	0.000
0.377	-0.195
0.377	0.098
0.376	-0.195
0.376	0.000
0.375	-0.195
0.375	0.098
0.374	-0.195
0.374	0.000
0.374	-0.195
0.373	0.098
0.373	-0.195
0.372	0.098
0.372	-0.195
0.371	0.098
0.371	-0.195
0.370	0.098
0.369	-0.195
0.369	0.098
0.368	-0.195
0.368	0.098
0.367	-0.195
0.366	0.098
0.366	-0.195
0.365	0.098
0.364	-0.195
0.363	0.098
0.362	-0.195
0.361	0.098
0.360	-0.195
0.359	0.098
0.359	-0.195
0.358	0.098
0.358	-0.195
0.358	0.195
0.358	-0.195
0.358	0.098
0.357	-0.293
0.357	0.195
0.357	-0.195
0.357	0.195
0.357	-0.195
0.356	0.098
0.356	-0.195
0.356	0.195
0.356	-0.195
0.356	0.195
0.356	-0.195
0.355	0.098
0.355	-0.293
0.355	0.195
0.355	-0.293
0.355	0.098
0.354	-0.293
0.354	0.195
0.353	-0.293
0.353	0.195
0.353	-0.293
0.353	0.195
0.353	-0.293
0.353	0.195
0.353	-0.293
0.353	0.195
0.352	-0.293
0.352	0.195
0.352	-0.293
0.352	0.195
0.352	-0.293
0.352	0.195
0.351	-0.293
0.351	0.195
0.351	-0.293
0.351	0.195
0.351	-0.195
0.351	0.098
0.350	-0.293
0.350	0.195
0.350	-0.293
0.350	0.195
0.349	-0.391
0.349	0.195
0.349	-0.293
0.348	0.195
0.348	-0.293
0.347	0.195
0.347	-0.293
0.347	0.195
