Light Intensity, Ch A vs Actual Angular position, Run #14
Actual Angular position	Light Intensity Ch A (%max)
-0.721	0.020
-0.723	-0.020
-0.724	0.020
-0.726	-0.029
-0.729	0.010
-0.731	-0.020
-0.732	0.010
-0.733	-0.020
-0.734	0.000
-0.735	-0.020
-0.737	0.000
-0.739	-0.029
-0.740	0.000
-0.742	-0.029
-0.743	0.010
-0.745	-0.029
-0.746	0.010
-0.747	-0.029
-0.748	0.010
-0.748	-0.039
-0.750	0.020
-0.751	-0.039
-0.753	0.010
-0.755	-0.049
-0.755	0.020
-0.756	-0.039
-0.756	0.010
-0.757	-0.049
-0.758	0.020
-0.758	-0.049
-0.759	0.029
-0.760	-0.049
-0.761	0.020
-0.762	-0.039
-0.763	0.010
-0.764	-0.059
-0.764	0.010
-0.765	-0.049
-0.766	0.010
-0.768	-0.049
-0.770	0.020
-0.772	-0.049
-0.774	0.020
-0.776	-0.039
-0.778	0.020
-0.779	-0.049
-0.780	0.020
-0.782	-0.059
-0.784	0.010
-0.785	-0.049
-0.787	0.010
-0.788	-0.049
-0.789	0.020
-0.790	-0.049
-0.791	0.010
-0.792	-0.059
-0.794	0.010
-0.795	-0.049
-0.796	0.010
-0.797	-0.059
-0.798	0.010
-0.799	-0.059
-0.801	0.010
-0.802	-0.059
-0.803	0.010
-0.804	-0.059
-0.805	0.010
-0.806	-0.059
-0.807	0.010
-0.808	-0.068
-0.808	0.020
-0.809	-0.059
-0.810	0.000
-0.811	-0.059
-0.812	0.010
-0.814	-0.059
-0.816	0.010
-0.818	-0.059
-0.820	0.000
-0.821	-0.059
-0.822	0.000
-0.823	-0.059
-0.824	0.010
-0.825	-0.068
-0.826	0.000
-0.828	-0.059
-0.829	0.000
-0.830	-0.059
-0.831	0.000
-0.832	-0.059
-0.833	0.010
-0.834	-0.059
-0.835	0.000
-0.837	-0.059
-0.838	0.000
-0.840	-0.059
-0.841	0.000
-0.842	-0.059
-0.844	0.000
-0.845	-0.059
-0.846	0.000
-0.848	-0.068
-0.849	0.000
-0.851	-0.059
-0.852	0.000
-0.854	-0.059
-0.856	0.000
-0.857	-0.059
-0.858	0.000
-0.860	-0.059
-0.860	0.000
-0.861	-0.059
-0.862	0.000
-0.863	-0.059
-0.864	0.000
-0.865	-0.059
-0.866	0.000
-0.866	-0.068
-0.867	0.000
-0.868	-0.068
-0.868	-0.010
-0.869	-0.059
-0.870	-0.010
-0.871	-0.059
-0.872	0.000
-0.873	-0.059
-0.874	0.000
-0.876	-0.059
-0.876	0.000
-0.877	-0.068
-0.878	0.000
-0.878	-0.059
-0.879	0.000
-0.879	-0.059
-0.880	0.000
-0.881	-0.068
-0.882	0.000
-0.883	-0.059
-0.885	0.000
-0.886	-0.068
-0.887	0.000
-0.888	-0.059
-0.890	0.000
-0.892	-0.068
-0.895	-0.010
-0.897	-0.059
-0.899	-0.010
-0.901	-0.049
-0.902	-0.010
-0.903	-0.059
-0.904	0.000
-0.904	-0.059
-0.905	-0.020
-0.906	-0.059
-0.908	-0.020
-0.910	-0.059
-0.911	-0.020
-0.912	-0.049
-0.914	0.000
-0.915	-0.059
-0.917	-0.010
-0.920	-0.059
-0.923	-0.010
-0.926	-0.059
-0.929	-0.010
-0.931	-0.059
-0.934	-0.010
-0.935	-0.059
-0.937	-0.020
-0.938	-0.059
-0.939	-0.010
-0.941	-0.059
-0.943	-0.020
-0.946	-0.059
-0.949	-0.020
-0.952	-0.059
-0.955	-0.020
-0.956	-0.059
-0.957	-0.010
-0.958	-0.059
-0.959	-0.020
-0.960	-0.059
-0.961	-0.020
-0.962	-0.049
-0.964	-0.020
-0.965	-0.049
-0.967	-0.020
-0.968	-0.059
-0.969	-0.020
-0.969	-0.059
-0.970	-0.020
-0.970	-0.049
-0.971	-0.020
-0.971	-0.039
-0.973	-0.020
-0.973	-0.039
-0.974	-0.020
-0.974	-0.049
-0.975	-0.020
-0.976	-0.059
-0.976	-0.029
-0.976	-0.049
-0.977	-0.020
-0.978	-0.039
-0.979	-0.029
-0.980	-0.049
-0.981	-0.020
-0.983	-0.049
-0.986	-0.029
-0.988	-0.049
-0.989	-0.020
-0.990	-0.039
-0.991	-0.020
-0.993	-0.049
-0.994	-0.020
-0.995	-0.039
-0.996	-0.020
-0.997	-0.049
-0.998	-0.020
-0.999	-0.049
-1.000	-0.020
-1.001	-0.059
-1.002	-0.029
-1.005	-0.039
-1.007	-0.039
-1.009	-0.039
-1.012	-0.029
-1.014	-0.039
-1.016	-0.029
-1.017	-0.039
-1.019	-0.029
-1.021	-0.039
-1.022	-0.029
-1.023	-0.039
-1.024	-0.029
-1.027	-0.049
-1.029	-0.020
-1.032	-0.039
-1.035	-0.039
-1.038	-0.039
-1.041	-0.029
-1.043	-0.049
-1.044	-0.029
-1.045	-0.039
-1.046	-0.039
-1.047	-0.039
-1.048	-0.039
-1.049	-0.039
-1.050	-0.039
-1.051	-0.039
-1.052	-0.039
-1.053	-0.049
-1.053	-0.029
-1.054	-0.039
-1.054	-0.029
-1.054	-0.039
-1.054	-0.029
-1.055	-0.039
-1.055	-0.029
-1.055	-0.049
-1.055	-0.039
-1.056	-0.039
-1.056	-0.029
-1.057	-0.039
-1.057	-0.039
-1.057	-0.029
-1.057	-0.029
-1.057	-0.029
-1.057	-0.049
-1.057	-0.039
-1.057	-0.039
-1.057	-0.039
-1.057	-0.039
-1.057	-0.039
-1.057	-0.029
-1.057	-0.039
-1.057	-0.029
-1.057	-0.029
-1.057	-0.039
-1.057	-0.039
-1.057	-0.029
-1.057	-0.039
-1.057	-0.039
-1.057	-0.039
-1.057	-0.029
-1.057	-0.039
-1.057	-0.039
-1.057	-0.039
-1.057	-0.029
-1.057	-0.039
-1.057	-0.039
-1.057	-0.039
-1.056	-0.039
-1.055	-0.039
-1.051	-0.039
-1.047	-0.029
-1.043	-0.029
-1.041	-0.029
-1.039	-0.039
-1.037	-0.039
-1.034	-0.039
-1.030	-0.039
-1.027	-0.039
-1.022	-0.039
-1.018	-0.020
-1.014	-0.039
-1.010	-0.039
-1.007	-0.029
-1.005	-0.029
-1.003	-0.029
-1.002	-0.039
-1.000	-0.020
-0.997	-0.039
-0.995	-0.029
-0.992	-0.039
-0.990	-0.029
-0.989	-0.029
-0.987	-0.020
-0.984	-0.039
-0.980	-0.029
-0.975	-0.039
-0.970	-0.029
-0.967	-0.039
-0.964	-0.020
-0.963	-0.039
-0.962	-0.029
-0.960	-0.029
-0.958	-0.039
-0.956	-0.029
-0.954	-0.020
-0.952	-0.029
-0.949	-0.020
-0.945	-0.029
-0.941	-0.029
-0.938	-0.039
-0.937	-0.020
-0.935	-0.029
-0.934	-0.029
-0.932	-0.029
-0.932	-0.020
-0.931	-0.029
-0.931	-0.020
-0.931	-0.029
-0.930	-0.020
-0.930	-0.039
-0.930	-0.010
-0.930	-0.029
-0.930	-0.029
-0.930	-0.039
-0.930	-0.020
-0.930	-0.020
-0.930	-0.020
-0.930	-0.029
-0.930	-0.029
-0.930	-0.029
-0.930	-0.020
-0.930	-0.029
